Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF/6.3V/20%/C0603","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",141.000000,-104.990000,180.000000,top
"C2","1uF/6.3V/20%/C0603","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",141.000000,-107.000000,180.000000,top
"C3","1uF/6.3V/20%/C0603","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",141.000000,-92.990000,180.000000,top
"C4","10uF/6.3V/20%/C0603","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",141.000000,-88.990000,180.000000,top
"C5","100nF/6.3V/20%/C0603","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",147.500000,-108.990000,-90.000000,top
"C6","100nF/6.3V/20%/C0603","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",154.000000,-108.990000,-90.000000,top
"C7","100nF/6.3V/20%/C0603","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",141.000000,-90.990000,180.000000,top
"C8","100nF/6.3V/20%/C0603","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",159.000000,-95.990000,0.000000,top
"C9","1uF/6.3V/20%/C0603","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",159.000000,-93.990000,0.000000,top
"C10","10pF/6.3V/20%/C0603","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",159.000000,-87.500000,0.000000,top
"C11","22nF/6.3V/20%/C0603","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",141.000000,-102.990000,180.000000,top
"C12","100nF/6.3V/20%/C0603","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",147.250000,-89.990000,90.000000,top
"C13","18pF/6.3V/20%/C0603","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",134.000000,-94.990000,0.000000,top
"C14","18pF/6.3V/20%/C0603","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",134.000000,-96.990000,0.000000,top
"C15","10pF/6.3V/20%/C0603","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",131.500000,-101.990000,90.000000,top
"C16","10pF/6.3V/20%/C0603","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",133.500000,-101.990000,90.000000,top
"C17","2.2pF/6.3V/20%/C0603","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",132.500000,-80.000000,90.000000,top
"C18","22uF/6.3V/20%/C0603","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",138.500000,-80.000000,-90.000000,top
"C19","10uF/6.3V/20%/C0603","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",136.500000,-80.000000,-90.000000,top
"C20","10uF/6.3V/20%/C0603","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",134.500000,-73.000000,180.000000,top
"C21","100nF/6.3V/20%/C0603","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",130.500000,-73.000000,180.000000,top
"C22","100nF/6.3V/20%/C0603","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",130.500000,-77.000000,180.000000,top
"C23","10uF/6.3V/20%/C0603","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",148.000000,-68.000000,0.000000,top
"C24","10uF/6.3V/20%/C0603","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",142.000000,-62.000000,0.000000,top
"C25","10uF/6.3V/20%/C0603","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",138.000000,-53.500000,180.000000,top
"C26","10uF/6.3V/20%/C0603","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",137.000000,-63.000000,-90.000000,top
"C27","100nF/6.3V/20%/C0603","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",145.000000,-116.500000,-90.000000,top
"C28","10uF/6.3V/20%/C0603","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",147.000000,-116.500000,-90.000000,top
"C29","100nF/6.3V/20%/C0603","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",146.000000,-119.500000,0.000000,top
"C30","100nF/6.3V/20%/C0603","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",146.000000,-121.500000,0.000000,top
"C31","10uF/6.3V/20%/C0603","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",146.000000,-123.500000,0.000000,top
"C32","10uF/6.3V/20%/C0603","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",125.000000,-94.000000,0.000000,top
"D1","ESDA7P60-1U1M","TVS_ESDA7P60-1U1M",155.000000,-65.000000,90.000000,top
"D2","LED","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",135.000000,-63.000000,-90.000000,top
"D3","LED","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",132.500000,-63.000000,-90.000000,top
"FB1","BLM18PG121SN1D","L_0603_1608Metric_Pad1.05x0.95mm_HandSolder",141.000000,-109.000000,0.000000,top
"FB2","BLM18PG121SN1D","L_0603_1608Metric_Pad1.05x0.95mm_HandSolder",146.000000,-125.500000,0.000000,top
"H1","MountingHole_Pad","MountingHole_4.3mm_M4_ISO7380_Pad",125.000000,-54.000000,0.000000,top
"H2","MountingHole_Pad","MountingHole_4.3mm_M4_ISO7380_Pad",159.000000,-54.000000,0.000000,top
"H3","MountingHole_Pad","MountingHole_4.3mm_M4_ISO7380_Pad",159.000000,-135.500000,0.000000,top
"H4","MountingHole_Pad","MountingHole_4.3mm_M4_ISO7380_Pad",125.000000,-135.500000,0.000000,top
"IC1","VEML6030","VEML6030",142.000000,-116.500000,0.000000,top
"J2","2171790001","MOLEX_2171790001",160.500000,-68.000000,90.000000,top
"L1","2.2uH(MAMK2520T2R2M)","L_1008_2520Metric_Pad1.43x2.20mm_HandSolder",138.000000,-76.000000,90.000000,top
"R1","0R/R0603","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",137.500000,-98.990000,180.000000,top
"R2","0R/R0603","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",137.500000,-100.990000,180.000000,top
"R3","0R/R0603","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",159.000000,-100.000000,0.000000,top
"R4","1K/R0603","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",159.000000,-89.500000,0.000000,top
"R5","10K/R0603","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",145.250000,-90.000000,-90.000000,top
"R6","0R/R0603","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",137.500000,-94.990000,180.000000,top
"R7","0R/R0603","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",137.500000,-96.990000,180.000000,top
"R8","100R/R0603","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",130.500000,-74.980000,0.000000,top
"R9","604K/R0603","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",145.500000,-78.000000,0.000000,top
"R10","100K/R0603","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",145.500000,-76.000000,0.000000,top
"R11","1M/R0603","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",130.500000,-80.000000,90.000000,top
"R12","56K/R0603","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",145.500000,-80.000000,0.000000,top
"R13","178K/R0603","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",128.500000,-80.000000,-90.000000,top
"R14","340K/R0603","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",145.500000,-82.000000,0.000000,top
"R15","33K/R0603","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",148.000000,-70.000000,0.000000,top
"R16","5.1K/R0603","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",162.000000,-61.500000,0.000000,top
"R17","5.1K/R0603","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",162.000000,-59.500000,0.000000,top
"R18","82K/R0603","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",148.000000,-72.000000,180.000000,top
"R19","68K/R0603","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",142.000000,-60.000000,180.000000,top
"R20","3.48K/R0603","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",139.000000,-63.000000,90.000000,top
"R21","2.21K/R0603","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",142.000000,-58.000000,180.000000,top
"R22","1.5K/R0603","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",135.000000,-67.000000,-90.000000,top
"R23","1.5K/R0603","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",132.500000,-67.000000,-90.000000,top
"R24","10K/R0603","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",139.000000,-116.500000,-90.000000,top
"R25","10K/R0603","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",139.000000,-121.000000,90.000000,top
"R26","10K/R0603","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",149.250000,-90.000000,90.000000,top
"R27","10K/R0603","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",151.250000,-90.000000,90.000000,top
