Ref,Val,Package,PosX,PosY,Rot,Side
"D1","LED","LED_0505_1313Metric",133.500000,-93.000000,90.000000,bottom
"D2","LED","LED_0505_1313Metric",136.000000,-93.000000,90.000000,bottom
"D3","LED","LED_0505_1313Metric",138.500000,-93.000000,90.000000,bottom
"D4","LED","LED_0505_1313Metric",141.000000,-93.000000,90.000000,bottom
"D5","LED","LED_0505_1313Metric",144.000000,-93.000000,90.000000,bottom
"D6","LED","LED_0505_1313Metric",146.500000,-93.000000,90.000000,bottom
"D7","LED","LED_0505_1313Metric",149.000000,-93.000000,90.000000,bottom
"D8","LED","LED_0505_1313Metric",151.500000,-93.000000,90.000000,bottom
"R10","0R/R0603","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",133.500000,-90.000000,90.000000,bottom
"R11","0R/R0603","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",136.000000,-90.000000,90.000000,bottom
"R12","0R/R0603","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",138.500000,-90.000000,90.000000,bottom
"R13","0R/R0603","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",141.000000,-90.000000,90.000000,bottom
"R14","0R/R0603","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",144.000000,-90.000000,90.000000,bottom
"R15","0R/R0603","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",146.500000,-90.000000,90.000000,bottom
"R16","0R/R0603","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",149.000000,-90.000000,90.000000,bottom
"R17","0R/R0603","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",151.500000,-90.000000,90.000000,bottom
