Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10uF/6.3V/20%/C0603","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",150.000000,-86.500000,90.000000,top
"C2","100nF/6.3V/20%/C0603","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",148.000000,-86.500000,90.000000,top
"H1","MountingHole_Pad","MountingHole_4.3mm_M4_ISO7380_Pad",125.000000,-100.000000,0.000000,top
"H2","MountingHole_Pad","MountingHole_4.3mm_M4_ISO7380_Pad",160.000000,-100.000000,0.000000,top
"J1","Conn_02x05_Odd_Even","IDC-Header_2x05_P2.54mm_Vertical",147.580000,-98.500000,-90.000000,top
"R1","10K/R0603","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",151.000000,-90.500000,0.000000,top
"R2","10K/R0603","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",129.500000,-86.000000,180.000000,top
"R3","10K/R0603","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",129.500000,-88.000000,180.000000,top
"R4","10K/R0603","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",129.500000,-90.500000,180.000000,top
"R5","10K/R0603","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",129.500000,-92.500000,180.000000,top
"R6","0R/R0603","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",133.500000,-86.000000,0.000000,top
"R7","0R/R0603","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",133.500000,-88.000000,0.000000,top
"R8","0R/R0603","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",133.500000,-90.500000,0.000000,top
"R9","0R/R0603","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",133.500000,-92.500000,0.000000,top
"R10","375R/R0603","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",139.500000,-86.000000,180.000000,top
"U1","TLC59108xPW","TSSOP-20_4.4x6.5mm_P0.65mm",142.500000,-90.500000,0.000000,top
